"numeroCartao","nome","validade","tipo","cvv","pin","criadoEm"
"4225471848901413","Alpha Tiffany","2027-04-08T13:31:56.0619129+00:00","Visa","522",2529,"2025-07-08T13:32:33.731Z"
"4641319017210650","Kahlani Berens","2028-10-08T13:31:56.8564219+00:00","Visa","974",3345,"2025-07-08T13:32:33.731Z"
"4448456046112609","Journey Philips","2030-06-08T13:31:57.5744723+00:00","Visa","169",1666,"2025-07-08T13:32:33.731Z"
"4790452269758362","Zaidyn Lumpkin","2026-12-08T13:31:58.0855923+00:00","Visa","666",8176,"2025-07-08T13:32:33.731Z"
"4446824683594680","Adalyne Goodin","2029-12-08T13:31:58.6132232+00:00","Visa","603",1675,"2025-07-08T13:32:33.731Z"
"4195330915494130","Scotland Merry","2028-12-08T13:31:59.3545502+00:00","Visa","524",6616,"2025-07-08T13:32:33.731Z"
"4258982733756027","Cassidy Moorehead","2027-10-08T13:31:59.9908903+00:00","Visa","594",8982,"2025-07-08T13:32:33.731Z"
"4166328348812543","Paetyn Greenwell","2028-09-08T13:32:00.7121551+00:00","Visa","118",7016,"2025-07-08T13:32:33.731Z"
"4818552760103303","Irena Hoard","2029-05-08T13:32:01.2984745+00:00","Visa","127",4324,"2025-07-08T13:32:33.731Z"
"4549170428968730","Baylee Mcconnell","2027-11-08T13:32:01.849237+00:00","Visa","392",4561,"2025-07-08T13:32:33.731Z"
"4931900357500963","Everette Ackerson","2027-09-08T13:32:02.369535+00:00","Visa","575",6756,"2025-07-08T13:32:33.731Z"
"4172312925715123","Keren Agee","2027-09-08T13:32:03.0903664+00:00","Visa","900",6427,"2025-07-08T13:32:33.731Z"
"4923975859108655","Lacie Irizarry","2029-12-08T13:32:03.6996023+00:00","Visa","294",6675,"2025-07-08T13:32:33.731Z"
"4792041133915577","Aman Bott","2028-11-08T13:32:04.2467156+00:00","Visa","727",6553,"2025-07-08T13:32:33.732Z"
"4119547623842846","Lander Caudillo","2029-07-08T13:32:04.9479423+00:00","Visa","142",8244,"2025-07-08T13:32:33.732Z"
"4921412112070680","Sequoia Nutt","2027-12-08T13:32:05.4831375+00:00","Visa","861",9131,"2025-07-08T13:32:33.732Z"
"4867702592023951","Gisele Rains","2030-05-08T13:32:06.2107899+00:00","Visa","901",2560,"2025-07-08T13:32:33.732Z"
"4342519821379490","Saja Wilfong","2028-12-08T13:32:06.9489509+00:00","Visa","886",5820,"2025-07-08T13:32:33.732Z"
"4440150679418601","Yashvi Waldner","2029-10-08T13:32:07.5823131+00:00","Visa","756",3481,"2025-07-08T13:32:33.732Z"
"4207743390159539","Livie Glidden","2027-05-08T13:32:08.1587841+00:00","Visa","234",3272,"2025-07-08T13:32:33.732Z"
"4607421039081507","Nikola Spurlock","2029-06-08T13:32:08.8312364+00:00","Visa","709",3190,"2025-07-08T13:32:33.732Z"
"4859611743349191","Osiel Wainwright","2029-02-08T13:32:09.3765894+00:00","Visa","567",9780,"2025-07-08T13:32:33.732Z"
"4245566154372491","Blanca Lindberg","2029-02-08T13:32:09.9426059+00:00","Visa","402",3371,"2025-07-08T13:32:33.732Z"
"4231104865541364","Sahasra Gonsalves","2030-05-08T13:32:10.469559+00:00","Visa","545",3055,"2025-07-08T13:32:33.732Z"
"4875030270262992","Tania Houck","2029-11-08T13:32:10.9873751+00:00","Visa","745",3989,"2025-07-08T13:32:33.732Z"
"4591125082493877","Autum Lowther","2028-02-08T13:32:11.5381174+00:00","Visa","830",5877,"2025-07-08T13:32:33.732Z"
"4946206910257874","Raiden Branch","2030-04-08T13:32:12.0182838+00:00","Visa","183",6803,"2025-07-08T13:32:33.732Z"
"4170377320561283","Daila Soles","2026-11-08T13:32:12.5449105+00:00","Visa","695",7203,"2025-07-08T13:32:33.732Z"
"4920487444542482","Azure Eldredge","2030-02-08T13:32:13.0477541+00:00","Visa","833",3051,"2025-07-08T13:32:33.732Z"
"4334920053244941","Nyah Chavarria","2029-09-08T13:32:13.5754287+00:00","Visa","558",5812,"2025-07-08T13:32:33.732Z"
"4853397242188217","Spencer Mcguire","2027-07-08T13:32:14.0831935+00:00","Visa","634",5356,"2025-07-08T13:32:33.732Z"
"4161607842218405","Zidan Orange","2026-11-08T13:32:14.7525306+00:00","Visa","667",1911,"2025-07-08T13:32:33.732Z"
"4608201633390515","Toni Fairchild","2027-04-08T13:32:15.3237632+00:00","Visa","611",9854,"2025-07-08T13:32:33.732Z"
"4126250170854220","Devante Loving","2027-07-08T13:32:16.1511925+00:00","Visa","695",7463,"2025-07-08T13:32:33.732Z"
"4149072177653410","Nelly Morey","2028-05-08T13:32:16.8433257+00:00","Visa","504",9509,"2025-07-08T13:32:33.732Z"
"4919157216178392","Aksel Menard","2028-12-08T13:32:17.5995514+00:00","Visa","246",2339,"2025-07-08T13:32:33.732Z"
"4926321829346462","Eiden Roney","2028-03-08T13:32:18.1803504+00:00","Visa","322",9122,"2025-07-08T13:32:33.732Z"
"4463060944504881","Ela Sturm","2026-09-08T13:32:18.8589817+00:00","Visa","380",7880,"2025-07-08T13:32:33.732Z"
"4936930649488763","Talaya Stutz","2030-02-08T13:32:19.4638445+00:00","Visa","226",2985,"2025-07-08T13:32:33.732Z"
"4839018720165563","Hutson Dew","2026-08-08T13:32:20.0624173+00:00","Visa","273",6076,"2025-07-08T13:32:33.732Z"
"4315396972227072","Triniti Wertz","2028-02-08T13:32:20.7477409+00:00","Visa","942",1306,"2025-07-08T13:32:33.732Z"
"4504618655757252","Michaella Adamo","2029-02-08T13:32:21.2874327+00:00","Visa","615",3486,"2025-07-08T13:32:33.732Z"
"4136713371418267","Peter Ramsey","2027-10-08T13:32:21.8434638+00:00","Visa","619",1003,"2025-07-08T13:32:33.732Z"
"4391414325682534","Arriana Gambrell","2028-07-08T13:32:22.4497158+00:00","Visa","348",1071,"2025-07-08T13:32:33.732Z"
"4573387285027447","Hope Norton","2029-07-08T13:32:23.0461066+00:00","Visa","755",4798,"2025-07-08T13:32:33.732Z"
"4715276639353220","Laurie Rutter","2027-11-08T13:32:23.5550393+00:00","Visa","277",1871,"2025-07-08T13:32:33.732Z"
"4486558865271508","Cattaleya Driskell","2030-04-08T13:32:24.0483856+00:00","Visa","740",5270,"2025-07-08T13:32:33.732Z"
"4993771407377222","Esperanza Gifford","2029-05-08T13:32:24.5217823+00:00","Visa","169",8180,"2025-07-08T13:32:33.732Z"
"4512533480373805","Geovani Kerby","2030-06-08T13:32:25.0089112+00:00","Visa","756",6944,"2025-07-08T13:32:33.732Z"
"4241254069478190","Ronav Lofgren","2029-10-08T13:32:25.5633365+00:00","Visa","587",9463,"2025-07-08T13:32:33.732Z"
"4134042332667560","Anvita Bolyard","2029-10-08T13:32:26.1944492+00:00","Visa","472",2705,"2025-07-08T13:32:33.732Z"
"4715303706874555","Fredy Elliot","2026-11-08T13:32:26.8257608+00:00","Visa","812",3654,"2025-07-08T13:32:33.732Z"
"4337973387820628","Alvaro Fong","2029-01-08T13:32:27.7481679+00:00","Visa","291",9966,"2025-07-08T13:32:33.732Z"
"4957665153416552","Kush Mangold","2026-08-08T13:32:28.3921394+00:00","Visa","720",8794,"2025-07-08T13:32:33.732Z"
"4214849555850746","Charisma Feng","2028-12-08T13:32:29.1365725+00:00","Visa","243",7589,"2025-07-08T13:32:33.732Z"
"4151104839497202","Ellington Coco","2028-12-08T13:32:29.8267272+00:00","Visa","491",4708,"2025-07-08T13:32:33.732Z"
"4831280096544247","Ajah Zuber","2026-11-08T13:32:30.636521+00:00","Visa","416",9174,"2025-07-08T13:32:33.732Z"
"4000542741191798","Kiana Stacy","2026-11-08T13:32:31.4253165+00:00","Visa","157",8348,"2025-07-08T13:32:33.732Z"
"4089862397886010","Talyn Avendano","2027-01-08T13:32:32.0954489+00:00","Visa","859",9997,"2025-07-08T13:32:33.732Z"
"4169875419808286","Rooney Middlebrooks","2027-06-08T13:32:32.8734669+00:00","Visa","618",6198,"2025-07-08T13:32:33.732Z"
"4908281857647151","Olen Kolar","2027-01-08T13:32:33.692982+00:00","Visa","947",3887,"2025-07-08T13:32:33.732Z"
